source_row,normalized_source_url,asset_type,asset_id,duplicate_of_source_row
1,https://metabase.curefit.co/question/75109-memberships-by-each-business-line-end-of-each-month-including-all-packs?start_date=2025-09-01&end_date=2026-01-31,question,75109,
2,https://metabase.curefit.co/question/77280-memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level?start_date=2025-09-12&end_date=2026-03-12,question,77280,
3,https://metabase.curefit.co/question/75114-monthly-active-memberships-elite-pro-play-lux?Start_Date=2023-04-01&end_date=2025-12-31,question,75114,
4,https://metabase.curefit.co/question/55566-footfalls-grained?Start_Date=2023-01-01&End_Date=2024-11-12&grain=quarter,question,55566,
5,https://metabase.curefit.co/question/75753-at-home-footfalls?grain=month,question,75753,
6,https://metabase.curefit.co/question/47810-which-of-these-below-mentioned-statements-best-describes-your-fitness-history,question,47810,
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,75630,
8,https://metabase.curefit.co/question/76611-daily-metrics-tanmai-v2-with-end-date?Start_Date=2023-04-01&End_Date=2026-03-31,question,76611,
9,https://metabase.curefit.co/question/75647-same-center-vs-other-center?Last_date=2026-02-09,question,75647,
10,https://metabase.curefit.co/question/75650-same-city-vs-other-city-modified?Last_date=2026-02-09,question,75650,
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,75654,
12,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,question,75628,
13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,59428,
14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,
15,https://metabase.curefit.co/question/67337-installs-by-type-source-duplicate?Time_Granularity=Month&From=2022-04-01&To=2025-12-31&City=&Campaign=&Value_Type=Users,question,67337,
16,https://metabase.curefit.co/question/75999-page-ids-traffic?Start=2022-04-01&End=2025-12-31&Time_Granularity=Month,question,75999,
17,https://metabase.curefit.co/question/67337-installs-by-type-source-duplicate?Time_Granularity=Month&From=2022-04-01&To=2025-12-31&City=&Campaign=&Value_Type=Users,question,67337,15
18,https://metabase.curefit.co/question/75999-page-ids-traffic?Start=2022-04-01&End=2025-12-31&Time_Granularity=Month,question,75999,16
19,https://metabase.curefit.co/question/30893-cst-class-data?start=2026-03-01&workout=&cluster=&center_name=&city=&end=2026-03-12,question,30893,
20,https://metabase.curefit.co/question/30893-cst-class-data?start=2026-03-01&workout=&cluster=&center_name=&city=&end=2026-03-12,question,30893,19
21,https://metabase.curefit.co/question/55566-footfalls-grained?Start_Date=2023-01-01&End_Date=2024-11-12&grain=quarter,question,55566,4
22,https://metabase.curefit.co/question/75753-at-home-footfalls?grain=month,question,75753,5
23,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,
24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,23
25,https://metabase.curefit.co/dashboard/3604-cross-sell-dashboard?active_end_date=2026-01-31&active_start_date=2025-04-01&business_line=&category=Indoor+Equipment&category=Indoor_Equipment-Strength&cohort=&compare_with_current_date=1&compare_with_current_month=1&consider_active_time=1&consider_city=0&coupon_code=&current_month_active_vs_expired=&current_month_trend=1&date_filter=Month&date_of_month_end_date=&date_of_month_start_date=&first_membership_created_end_date=&first_membership_created_start_date=&is_freebie_order=1&is_fs_member=1&membership_created_end_date=&membership_created_start_date=&month_end_date=&month_start_date=&no_of_month=2&order_end_date=2026-01-31&order_start_date=2026-01-01&service_type=&source=&store_name=&tab=207-visualization&twelve_month_trend=1,dashboard,3604,
