source_rows,normalized_source_url,asset_type,root_asset_id,root_asset_name,source_row_count,duplicate_source_rows,direct_card_count,direct_cards,nested_card_count,nested_cards,table_count,tables,cte_count,ctes,upstream_core_object_count,upstream_core_objects,unresolved_dependency_count,unresolved_dependencies,evidence_status,notes
1,https://metabase.curefit.co/question/75109-memberships-by-each-business-line-end-of-each-month-including-all-packs?start_date=2025-09-01&end_date=2026-01-31,question,75109,Memberships by Each Business Line - End of Each Month - including all packs,1,,1,75109:Memberships by Each Business Line - End of Each Month - including all packs,0,,2,dwh_curefit.dim_date || dwh_fitness_mart.membership_dim,1,dates,2,dwh_curefit.dim_date || dwh_fitness_mart.membership_dim,1,dates,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,Relation not found in local dbt manifest.
2,https://metabase.curefit.co/question/77280-memberships-by-each-business-line-end-of-each-month-including-all-packs-city-level?start_date=2025-09-12&end_date=2026-03-12,question,77280,Memberships by Each Business Line - End of Each Month - including all packs -city level,1,,1,77280:Memberships by Each Business Line - End of Each Month - including all packs -city level,0,,3,dwh_curefit.dim_date || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim,1,dates,3,dwh_curefit.dim_date || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim,1,dates,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,Relation not found in local dbt manifest.
3,https://metabase.curefit.co/question/75114-monthly-active-memberships-elite-pro-play-lux?Start_Date=2023-04-01&end_date=2025-12-31,question,75114,"Monthly active memberships ELITE, PRO, PLAY, LUX",1,,1,"75114:Monthly active memberships ELITE, PRO, PLAY, LUX",0,,2,dwh_curefit.dim_date || dwh_fitness_mart.membership_dim,2,activeMemberships || liveMemberships,2,dwh_curefit.dim_date || dwh_fitness_mart.membership_dim,2,activeMemberships || liveMemberships,query_sql|metadata_json|result_blocked,Relation not found in local dbt manifest.
4|21,https://metabase.curefit.co/question/55566-footfalls-grained?Start_Date=2023-01-01&End_Date=2024-11-12&grain=quarter,question,55566,#Footfalls - Grained,2,21,1,55566:#Footfalls - Grained,0,,4,base || dwh_fitness_mart.booking_fact || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim,0,,3,dwh_fitness_mart.booking_fact || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim,1,base,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,Relation not found in local dbt manifest.
5|22,https://metabase.curefit.co/question/75753-at-home-footfalls?grain=month,question,75753,'At Home' footfalls,2,22,1,75753:'At Home' footfalls,0,,2,dwh_fitness_mart.membership_dim || dwh_live.live_bookings,0,,2,dwh_fitness_mart.membership_dim || dwh_live.live_bookings,0,,query_sql|metadata_json|result_blocked,
6,https://metabase.curefit.co/question/47810-which-of-these-below-mentioned-statements-best-describes-your-fitness-history,question,47810,Which of these below- mentioned statements best describes your fitness history.,1,,1,47810:Which of these below- mentioned statements best describes your fitness history.,0,,1,pk_curefitprod_cfdb.npsresponses,0,,1,pk_curefitprod_cfdb.npsresponses,0,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,75630,Gender Split,1,,1,75630:Gender Split,0,,10,BASE || GENDER_BASE || age_onboarding || birthday_base || dwh_fitness_mart.membership_dim || pk_cfprodplatforms_rashi.User_Attribute || pk_cfuserservice_cultapp.User || pk_curefitprod_cfdb.npsresponses || rashi_age || user_age,0,,3,dwh_fitness_mart.membership_dim || pk_cfuserservice_cultapp.user || pk_curefitprod_cfdb.npsresponses,7,BASE || GENDER_BASE || age_onboarding || birthday_base || pk_cfprodplatforms_rashi.User_Attribute || rashi_age || user_age,query_sql|metadata_json|result_blocked,Relation not found in local dbt manifest.
8,https://metabase.curefit.co/question/76611-daily-metrics-tanmai-v2-with-end-date?Start_Date=2023-04-01&End_Date=2026-03-31,question,76611,Daily metrics - Tanmai v2 - With end date,1,,1,76611:Daily metrics - Tanmai v2 - With end date,0,,6,dwh_fitness.fitness_orders || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim || dwh_fitness_mart.orders_fact || pk_prod_curefit_prod.orders || pk_prod_curefit_prod.orders_payments,0,,31,dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim || pk_cultprod_cultapp.address || pk_cultprod_cultapp.booking || pk_cultprod_cultapp.center || pk_cultprod_cultapp.city || pk_cultprod_cultapp.cultclass || pk_cultprod_cultapp.membership || pk_cultprod_cultapp.preregistrationoffer || pk_curefitplatforms_membershipdb.memberships || pk_curefitprod_center_service.center || pk_curefitprod_center_service.center_sku || pk_curefitprod_center_service.sku || pk_curefitprod_gymfit.addresses || pk_curefitprod_gymfit.centers || pk_curefitprod_gymfit.sellers || pk_oms_analytics.payment_success || pk_prod_curefit_prod.offers || pk_prod_curefit_prod.orders || pk_prod_curefit_prod.orders_offersinfo || pk_prod_curefit_prod.orders_payments || pk_prod_curefit_prod.orders_payments_onuspayments || pk_prod_curefit_prod.orders_payments_refunds || pk_prod_curefit_prod.orders_products || pk_prod_curefit_prod.orders_productsnapshots || pk_prod_curefit_prod.orders_productsnapshots_option_offersinfo || pk_prod_curefit_prod.orders_statushistory || pk_prod_curefit_prod.referrals || pk_prod_curefit_prod.referrals_refereerewards || pk_prod_curefit_prod.referrals_statushistory || pk_walletprod_wallet_prod.wallet_refund,1,dwh_fitness.fitness_orders,query_sql|metadata_json|result_blocked,Relation not found in local dbt manifest.
9,https://metabase.curefit.co/question/75647-same-center-vs-other-center?Last_date=2026-02-09,question,75647,Same center vs other center,1,,1,75647:Same center vs other center,0,,4,base || dwh_fitness_mart.booking_fact || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim,0,,3,dwh_fitness_mart.booking_fact || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim,1,base,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,Relation not found in local dbt manifest.
10,https://metabase.curefit.co/question/75650-same-city-vs-other-city-modified?Last_date=2026-02-09,question,75650,Same city vs other city - Modified,1,,1,75650:Same city vs other city - Modified,0,,4,base || dwh_fitness_mart.booking_fact || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim,0,,3,dwh_fitness_mart.booking_fact || dwh_fitness_mart.center_dim || dwh_fitness_mart.membership_dim,1,base,query_sql|metadata_json|result_blocked,Relation not found in local dbt manifest.
